len,diffLen,class
133,65616,2
52,65454,2
1492,66975,2
72,64115,2
52,65515,2
1492,66975,2
72,64115,2
52,65515,2
193,65676,2
52,65394,2
937,66420,2
937,65535,2
52,64650,2
52,65535,2
1492,66975,2
72,64115,2
52,65515,2
549,66032,2
52,65038,2
1353,66836,2
52,64234,2
1353,66836,2
52,64234,2
1193,66676,2
52,64394,2
1353,66836,2
52,64234,2
1225,66708,2
52,64362,2
937,66420,2
52,64650,2
1492,66975,2
72,64115,2
52,65515,2
341,65824,2
52,65246,2
937,66420,2
52,64650,2
1492,66975,2
72,64115,2
52,65515,2
69,65552,2
52,65518,2
937,66420,2
52,64650,2
1492,66975,2
72,64115,2
52,65515,2
1285,66768,2
52,64302,2
953,66436,2
52,64634,2
1209,66692,2
52,64378,2
873,66356,2
52,64714,2
1369,66852,2
52,64218,2
1492,66975,2
72,64115,2
52,65515,2
53,65536,2
52,65534,2
1492,66975,2
72,64115,2
325,65788,2
52,65262,2
52,65535,2
1209,66692,2
52,64378,2
1492,66975,2
72,64115,2
52,65515,2
1189,66672,2
52,64398,2
1492,66975,2
72,64115,2
52,65515,2
725,66208,2
52,64862,2
1492,66975,2
72,64115,2
757,66220,2
52,64830,2
52,65535,2
1492,66975,2
72,64115,2
52,65515,2
1109,66592,2
52,64478,2
937,66420,2
52,64650,2
1369,66852,2
52,64218,2
1273,66756,2
52,64314,2
937,66420,2
52,64650,2
1161,66644,2
52,64426,2
569,66052,2
601,65567,2
52,64986,2
1321,66804,2
52,64266,2
857,66340,2
52,64730,2
521,66004,2
52,65066,2
905,66388,2
52,64682,2
1417,66900,2
1193,65311,2
52,64394,2
1321,66804,2
52,64266,2
857,66340,2
52,64730,2
521,66004,2
905,65919,2
52,64682,2
52,65535,2
1321,66804,2
52,64266,2
857,66340,2
52,64730,2
521,66004,2
905,65919,2
52,64682,2
52,65535,2
52,65535,2
52,65535,2
52,65535,2
